Эпоха 1/15 | Loss: 4.1974
Эпоха 2/15 | Loss: 3.6003
Эпоха 3/15 | Loss: 3.4313
Эпоха 4/15 | Loss: 3.2132
Эпоха 5/15 | Loss: 2.9813
Эпоха 6/15 | Loss: 2.7726
Эпоха 7/15 | Loss: 2.6132
Эпоха 8/15 | Loss: 2.4913
Эпоха 9/15 | Loss: 2.4147
Эпоха 10/15 | Loss: 2.3464
Эпоха 11/15 | Loss: 2.3042
Эпоха 12/15 | Loss: 2.2604
Эпоха 13/15 | Loss: 2.1991
Эпоха 14/15 | Loss: 2.1654
Эпоха 15/15 | Loss: 2.1197
